"id","name","price","description","photo_url","created_at","updated_at"
1,NIKE AIR FORCE 1 FONTANKA,125,"Les Air Force 1 se refont une beauté et se parent d’un tout nouveau design ultra coloré ! Prenez de la hauteur avec leur semelle à plateforme oversize, et bénéficiez d’un confort optimal avec leur col rembourré. Craquez pour leur tige au design colorblock, qui ne manquera pas de surprendre !",https://www.courir.com/dw/image/v2/BCCL_PRD/on/demandware.static/-/Sites-master-catalog-courir/default/dwc3c72684/images/hi-res/001494938_101.png?sw=600&sh=600&sm=fit,2021-12-03 01:45:43,2021-12-03 01:45:43
2,CONVERSE RUN STAR HIKE,120,"Ce modèle est le fruit de la collaboration entre Converse et JW Anderson. On reconnaît bien la silhouette de la mythique basket, mais la semelle oversize lui donne un look futuriste. En plus du macaron à la cheville, vous retrouverez l’étoile sur le talon pour un clin d’œil discret.",https://www.courir.com/dw/image/v2/BCCL_PRD/on/demandware.static/-/Sites-master-catalog-courir/default/dwa33654d8/images/hi-res/001471526_101.png?sw=600&sh=600&sm=fit,2021-12-03 01:45:43,2021-12-03 01:45:43
3,ADIDAS ORIGINALS STAN SMITH PRIMEGREEN,75,"Craquez pour une paire de sneakers qui terminera parfaitement toutes vos tenues avec ce modèle incontournable signé Adidas. Son design blanc se pare d’une fermeture à lacets et est rehaussé par des contreforts bleu marine, arborant le trèfle et le lettrage Stan Smith.",https://www.courir.com/dw/image/v2/BCCL_PRD/on/demandware.static/-/Sites-master-catalog-courir/default/dw4079dd7a/images/hi-res/001487987_101.png?sw=600&sh=600&sm=fit,2021-12-03 01:45:43,2021-12-03 01:45:43
